noticia_id,tema_id,score,fecha_asignacion
1005,11,1,2026-03-06 20:41:23
1005,12,1,2026-03-06 20:41:23
1009,2,1,2026-03-06 20:41:24
1025,12,1,2026-03-06 20:41:24
1053,2,1,2026-03-06 20:41:24
1055,12,1,2026-03-06 20:41:24
1056,12,1,2026-03-06 20:41:24
1059,1,1,2026-03-06 20:41:24
1069,2,1,2026-03-06 20:41:24
1070,3,1,2026-03-06 20:41:24
1074,11,1,2026-03-06 20:41:24
1076,1,1,2026-03-06 20:41:24
1078,3,1,2026-03-06 20:41:24
1078,4,1,2026-03-06 20:41:24
1081,2,1,2026-03-06 20:41:24
1082,2,1,2026-03-06 20:41:24
1084,1,1,2026-03-06 20:41:24
1086,2,1,2026-03-06 20:41:24
1087,4,1,2026-03-06 20:41:24
1087,10,1,2026-03-06 20:41:24
1088,4,1,2026-03-06 20:41:24
1088,10,1,2026-03-06 20:41:24
1095,1,1,2026-03-06 20:41:24
1104,2,1,2026-03-06 20:41:25
1106,2,1,2026-03-06 20:41:25
1107,2,1,2026-03-06 20:41:25
1109,2,1,2026-03-06 20:41:25
1111,3,1,2026-03-06 20:41:25
1111,4,1,2026-03-06 20:41:25
1112,2,1,2026-03-06 20:41:25
1130,4,1,2026-03-06 20:41:25
1130,10,1,2026-03-06 20:41:25
1143,1,1,2026-03-06 20:41:25
1146,1,1,2026-03-06 20:41:25
1147,2,1,2026-03-06 20:41:25
1152,1,1,2026-03-06 20:41:25
1153,11,1,2026-03-06 20:41:25
1158,1,1,2026-03-06 20:41:26
1159,4,1,2026-03-06 20:41:26
1160,3,1,2026-03-06 20:41:26
1162,2,1,2026-03-06 20:41:26
1187,1,1,2026-03-06 20:41:26
1196,4,1,2026-03-06 20:41:26
1198,1,1,2026-03-06 20:41:26
1199,1,1,2026-03-06 20:41:26
1202,4,1,2026-03-06 20:41:26
1202,10,1,2026-03-06 20:41:26
1205,2,1,2026-03-06 20:41:26
1211,12,1,2026-03-06 20:41:26
1442,4,1,2026-03-06 20:41:26
1442,12,1,2026-03-06 20:41:26
1443,2,1,2026-03-06 20:41:26
1444,3,1,2026-03-06 20:41:26
1444,11,1,2026-03-06 20:41:26
1447,3,1,2026-03-06 20:41:26
1454,1,1,2026-03-06 20:41:26
1456,12,1,2026-03-06 20:41:26
1462,12,1,2026-03-06 20:41:27
1467,12,1,2026-03-06 20:41:27
1474,2,1,2026-03-06 20:41:27
1475,12,1,2026-03-06 20:41:27
1476,1,1,2026-03-06 20:41:27
1503,1,1,2026-03-06 20:41:27
1518,4,1,2026-03-06 20:41:27
1521,1,1,2026-03-06 20:41:28
1523,2,1,2026-03-06 20:41:28
1523,3,1,2026-03-06 20:41:28
1523,4,1,2026-03-06 20:41:28
1529,2,1,2026-03-06 20:41:28
1529,12,1,2026-03-06 20:41:28
1530,1,1,2026-03-06 20:41:28
1530,2,1,2026-03-06 20:41:28
1530,12,1,2026-03-06 20:41:28
1531,1,1,2026-03-06 20:41:28
1531,3,1,2026-03-06 20:41:28
1534,1,1,2026-03-06 20:41:28
1539,1,1,2026-03-06 20:41:28
1545,11,1,2026-03-06 20:41:28
1554,2,1,2026-03-06 20:41:28
1555,2,1,2026-03-06 20:41:28
1559,1,1,2026-03-06 20:41:28
1562,2,1,2026-03-06 20:41:28
1563,12,1,2026-03-06 20:41:28
1564,1,1,2026-03-06 20:41:28
1564,2,1,2026-03-06 20:41:28
1566,1,1,2026-03-06 20:41:28
1566,3,1,2026-03-06 20:41:28
1567,2,1,2026-03-06 20:41:28
1570,1,1,2026-03-06 20:41:28
1570,2,1,2026-03-06 20:41:28
1575,2,1,2026-03-06 20:41:28
1577,2,1,2026-03-06 20:41:28
1582,12,1,2026-03-06 20:41:29
1585,1,1,2026-03-06 20:41:29
1590,4,1,2026-03-06 20:41:29
1590,10,1,2026-03-06 20:41:29
1590,11,1,2026-03-06 20:41:29
1602,2,1,2026-03-06 20:41:29
1603,12,1,2026-03-06 20:41:29
1605,1,1,2026-03-06 20:41:29
1606,1,1,2026-03-06 20:41:29
1606,11,1,2026-03-06 20:41:29
1608,2,1,2026-03-06 20:41:29
1610,2,1,2026-03-06 20:41:29
1612,3,1,2026-03-06 20:41:29
1614,1,1,2026-03-06 20:41:29
1615,1,1,2026-03-06 20:41:29
1615,11,1,2026-03-06 20:41:29
1617,4,1,2026-03-06 20:41:29
1623,1,1,2026-03-06 20:41:29
1625,1,1,2026-03-06 20:41:29
1629,11,1,2026-03-06 20:41:29
1632,1,1,2026-03-06 20:41:29
1671,1,1,2026-03-06 20:41:30
1673,12,1,2026-03-06 20:41:30
1680,11,1,2026-03-06 20:41:30
1681,2,1,2026-03-06 20:41:30
1920,2,1,2026-03-06 20:41:30
1922,1,1,2026-03-06 20:41:30
1922,4,1,2026-03-06 20:41:30
1922,10,1,2026-03-06 20:41:30
1922,12,1,2026-03-06 20:41:30
1925,12,1,2026-03-06 20:41:30
1931,1,1,2026-03-06 20:41:30
1941,2,1,2026-03-06 20:41:30
1950,3,1,2026-03-06 20:41:30
1950,4,1,2026-03-06 20:41:30
1953,1,1,2026-03-06 20:41:30
1953,11,1,2026-03-06 20:41:30
1961,3,1,2026-03-06 20:41:31
1962,3,1,2026-03-06 20:41:31
1962,11,1,2026-03-06 20:41:31
1963,12,1,2026-03-06 20:41:31
1964,12,1,2026-03-06 20:41:31
1980,2,1,2026-03-06 20:41:31
1981,2,1,2026-03-06 20:41:31
1985,2,1,2026-03-06 20:41:31
1986,2,1,2026-03-06 20:41:31
1986,12,1,2026-03-06 20:41:31
1991,12,1,2026-03-06 20:41:31
1995,1,1,2026-03-06 20:41:31
1997,3,1,2026-03-06 20:41:31
2001,1,1,2026-03-06 20:41:31
2002,1,1,2026-03-06 20:41:31
2004,10,1,2026-03-06 20:41:31
2006,2,1,2026-03-06 20:41:31
2006,3,1,2026-03-06 20:41:31
2008,1,1,2026-03-06 20:41:31
2008,2,1,2026-03-06 20:41:31
2008,4,1,2026-03-06 20:41:31
2008,9,1,2026-03-06 20:41:31
2008,10,1,2026-03-06 20:41:31
2008,11,1,2026-03-06 20:41:31
2008,12,1,2026-03-06 20:41:31
2009,2,1,2026-03-06 20:41:31
2011,2,1,2026-03-06 20:41:31
2011,12,1,2026-03-06 20:41:31
2015,10,1,2026-03-06 20:41:31
2020,1,1,2026-03-06 20:41:32
2021,1,1,2026-03-06 20:41:32
2028,2,1,2026-03-06 20:41:32
2030,2,1,2026-03-06 20:41:32
2031,11,1,2026-03-06 20:41:32
2033,1,1,2026-03-06 20:41:32
2038,2,1,2026-03-06 20:41:32
2039,2,1,2026-03-06 20:41:32
2046,1,1,2026-03-06 20:41:32
2046,12,1,2026-03-06 20:41:32
2047,1,1,2026-03-06 20:41:32
2048,11,1,2026-03-06 20:41:32
2050,1,1,2026-03-06 20:41:32
2057,1,1,2026-03-06 20:41:32
2063,9,1,2026-03-06 20:41:32
2064,1,1,2026-03-06 20:41:32
2065,3,1,2026-03-06 20:41:32
2065,4,1,2026-03-06 20:41:32
2066,1,1,2026-03-06 20:41:32
2067,1,1,2026-03-06 20:41:32
2067,12,1,2026-03-06 20:41:32
2069,1,1,2026-03-06 20:41:32
2070,11,1,2026-03-06 20:41:32
2074,1,1,2026-03-06 20:41:32
2076,2,1,2026-03-06 20:41:32
2080,1,1,2026-03-06 20:41:33
2083,1,1,2026-03-06 20:41:33
2084,1,1,2026-03-06 20:41:33
2084,11,1,2026-03-06 20:41:33
2085,1,1,2026-03-06 20:41:33
2090,2,1,2026-03-06 20:41:33
2092,1,1,2026-03-06 20:41:33
2092,11,1,2026-03-06 20:41:33
2101,1,1,2026-03-06 20:41:33
2102,4,1,2026-03-06 20:41:33
2108,3,1,2026-03-06 20:41:33
2109,3,1,2026-03-06 20:41:33
2109,4,1,2026-03-06 20:41:33
2110,3,1,2026-03-06 20:41:33
2110,12,1,2026-03-06 20:41:33
2112,11,1,2026-03-06 20:41:33
2114,12,1,2026-03-06 20:41:33
2128,1,1,2026-03-06 20:41:33
2132,3,1,2026-03-06 20:41:33
2135,12,1,2026-03-06 20:41:33
2136,12,1,2026-03-06 20:41:33
2145,4,1,2026-03-06 20:41:33
2146,3,1,2026-03-06 20:41:33
2146,4,1,2026-03-06 20:41:33
2146,10,1,2026-03-06 20:41:33
2156,12,1,2026-03-06 20:41:34
2157,1,1,2026-03-06 20:41:34
2162,4,1,2026-03-06 20:41:34
2162,10,1,2026-03-06 20:41:34
2164,3,1,2026-03-06 20:41:34
2164,12,1,2026-03-06 20:41:34
2165,12,1,2026-03-06 20:41:34
2166,12,1,2026-03-06 20:41:34
2167,12,1,2026-03-06 20:41:34
2169,2,1,2026-03-06 20:41:34
2169,3,1,2026-03-06 20:41:34
2171,12,1,2026-03-06 20:41:34
2175,12,1,2026-03-06 20:41:34
2182,2,1,2026-03-06 20:41:34
2186,11,1,2026-03-06 20:41:34
2194,3,1,2026-03-06 20:41:34
2229,3,1,2026-03-06 20:41:34
2238,2,1,2026-03-06 20:41:34
2251,12,1,2026-03-06 20:41:34
2252,11,1,2026-03-06 20:41:34
2262,10,1,2026-03-06 20:41:35
2270,3,1,2026-03-06 20:41:35
2376,12,1,2026-03-06 20:41:35
2378,2,1,2026-03-06 20:41:35
2382,12,1,2026-03-06 20:41:35
2383,12,1,2026-03-06 20:41:35
2384,10,1,2026-03-06 20:41:35
2393,1,1,2026-03-06 20:41:35
2394,2,1,2026-03-06 20:41:35
2399,1,1,2026-03-06 20:41:35
2399,4,1,2026-03-06 20:41:35
2409,4,1,2026-03-06 20:41:35
2409,12,1,2026-03-06 20:41:35
2416,1,1,2026-03-06 20:41:35
2418,2,1,2026-03-06 20:41:35
2419,12,1,2026-03-06 20:41:35
2432,2,1,2026-03-06 20:41:36
2432,4,1,2026-03-06 20:41:36
2432,10,1,2026-03-06 20:41:36
2439,11,1,2026-03-06 20:41:36
2440,12,1,2026-03-06 20:41:36
2468,1,1,2026-03-06 20:41:36
2477,1,1,2026-03-06 20:41:36
2480,1,1,2026-03-06 20:41:36
2481,2,1,2026-03-06 20:41:36
2481,3,1,2026-03-06 20:41:36
2481,12,1,2026-03-06 20:41:36
2482,1,1,2026-03-06 20:41:36
2484,2,1,2026-03-06 20:41:36
2485,12,1,2026-03-06 20:41:36
2492,2,1,2026-03-06 20:41:36
2492,12,1,2026-03-06 20:41:36
2515,1,1,2026-03-06 20:41:36
2516,2,1,2026-03-06 20:41:36
2517,1,1,2026-03-06 20:41:36
2517,11,1,2026-03-06 20:41:36
2519,1,1,2026-03-06 20:41:37
2526,2,1,2026-03-06 20:41:37
2526,3,1,2026-03-06 20:41:37
2527,1,1,2026-03-06 20:41:37
2536,1,1,2026-03-06 20:41:37
2537,1,1,2026-03-06 20:41:37
2601,1,1,2026-03-06 20:41:37
2611,12,1,2026-03-06 20:41:37
2614,1,1,2026-03-06 20:41:37
2634,4,1,2026-03-06 20:41:37
2634,10,1,2026-03-06 20:41:37
2639,4,1,2026-03-06 20:41:37
2643,2,1,2026-03-06 20:41:37
2660,2,1,2026-03-06 20:41:38
2663,12,1,2026-03-06 20:41:38
2664,11,1,2026-03-06 20:41:38
2664,12,1,2026-03-06 20:41:38
2665,12,1,2026-03-06 20:41:38
2672,1,1,2026-03-06 20:41:38
2682,2,1,2026-03-06 20:41:38
2716,12,1,2026-03-06 20:41:38
2723,1,1,2026-03-06 20:41:38
2727,2,1,2026-03-06 20:41:38
2730,12,1,2026-03-06 20:41:38
2738,1,1,2026-03-06 20:41:38
2738,2,1,2026-03-06 20:41:38
2738,12,1,2026-03-06 20:41:38
2740,2,1,2026-03-06 20:41:38
2741,12,1,2026-03-06 20:41:38
2746,12,1,2026-03-06 20:41:38
2747,11,1,2026-03-06 20:41:38
2755,2,1,2026-03-06 20:41:39
2843,1,1,2026-03-06 20:41:39
2843,11,1,2026-03-06 20:41:39
2852,1,1,2026-03-06 20:41:39
2854,1,1,2026-03-06 20:41:39
2860,12,1,2026-03-06 20:41:39
2861,4,1,2026-03-06 20:41:39
2861,10,1,2026-03-06 20:41:39
2878,12,1,2026-03-06 20:41:39
2879,2,1,2026-03-06 20:41:39
2881,12,1,2026-03-06 20:41:39
2882,2,1,2026-03-06 20:41:39
2894,2,1,2026-03-06 20:41:39
2897,12,1,2026-03-06 20:41:39
2903,2,1,2026-03-06 20:41:39
2903,3,1,2026-03-06 20:41:39
2908,3,1,2026-03-06 20:41:39
2909,2,1,2026-03-06 20:41:39
2918,1,1,2026-03-06 20:41:40
2921,1,1,2026-03-06 20:41:40
2921,12,1,2026-03-06 20:41:40
2927,1,1,2026-03-06 20:41:40
2930,12,1,2026-03-06 20:41:40
2934,12,1,2026-03-06 20:41:40
2935,12,1,2026-03-06 20:41:40
2940,1,1,2026-03-06 20:41:40
2942,12,1,2026-03-06 20:41:40
2945,12,1,2026-03-06 20:41:40
2946,3,1,2026-03-06 20:41:40
2958,1,1,2026-03-06 20:41:40
2960,1,1,2026-03-06 20:41:40
2960,2,1,2026-03-06 20:41:40
2960,12,1,2026-03-06 20:41:40
2961,1,1,2026-03-06 20:41:40
2961,12,1,2026-03-06 20:41:40
2964,2,1,2026-03-06 20:41:40
2964,3,1,2026-03-06 20:41:40
2965,1,1,2026-03-06 20:41:40
2965,12,1,2026-03-06 20:41:40
2966,1,1,2026-03-06 20:41:40
2969,3,1,2026-03-06 20:41:40
2969,4,1,2026-03-06 20:41:40
2975,1,1,2026-03-06 20:41:41
2977,1,1,2026-03-06 20:41:41
2977,11,1,2026-03-06 20:41:41
2982,1,1,2026-03-06 20:41:41
2987,2,1,2026-03-06 20:41:41
2988,2,1,2026-03-06 20:41:41
2993,3,1,2026-03-06 20:41:41
2994,3,1,2026-03-06 20:41:41
2994,12,1,2026-03-06 20:41:41
2996,4,1,2026-03-06 20:41:41
2996,10,1,2026-03-06 20:41:41
3001,3,1,2026-03-06 20:41:41
3005,4,1,2026-03-06 20:41:41
3005,10,1,2026-03-06 20:41:41
3007,12,1,2026-03-06 20:41:41
3013,1,1,2026-03-06 20:41:41
3014,12,1,2026-03-06 20:41:41
3023,2,1,2026-03-06 20:41:41
3028,3,1,2026-03-06 20:41:41
3032,2,1,2026-03-06 20:41:41
3032,12,1,2026-03-06 20:41:41
3033,12,1,2026-03-06 20:41:41
3034,12,1,2026-03-06 20:41:42
3036,12,1,2026-03-06 20:41:42
3042,4,1,2026-03-06 20:41:42
3042,10,1,2026-03-06 20:41:42
3043,1,1,2026-03-06 20:41:42
3050,2,1,2026-03-06 20:41:42
3052,1,1,2026-03-06 20:41:42
3054,12,1,2026-03-06 20:41:42
3055,11,1,2026-03-06 20:41:42
3057,4,1,2026-03-06 20:41:42
3057,10,1,2026-03-06 20:41:42
3059,4,1,2026-03-06 20:41:42
3059,10,1,2026-03-06 20:41:42
3061,11,1,2026-03-06 20:41:42
3063,1,1,2026-03-06 20:41:42
3080,4,1,2026-03-06 20:41:42
3080,10,1,2026-03-06 20:41:42
3092,4,1,2026-03-06 20:41:42
3092,10,1,2026-03-06 20:41:42
3093,12,1,2026-03-06 20:41:42
3098,12,1,2026-03-06 20:41:42
3099,1,1,2026-03-06 20:41:42
3102,3,1,2026-03-06 20:41:42
3102,4,1,2026-03-06 20:41:42
3102,10,1,2026-03-06 20:41:42
3103,3,1,2026-03-06 20:41:42
3106,1,1,2026-03-06 20:41:42
3106,2,1,2026-03-06 20:41:42
